user_id,event_date,converted,variant,signup_month,event_month
28,2024-04-25,0,variant,2024-04,2024-04
135,2024-04-18,0,variant,2024-04,2024-04
201,2024-06-27,0,variant,2024-06,2024-06
840,2024-06-25,0,control,2024-06,2024-06
780,2024-02-24,0,variant,2024-02,2024-02
930,2024-05-30,0,variant,2024-05,2024-05
33,2024-03-11,0,variant,2024-02,2024-03
48,2024-03-24,0,variant,2024-03,2024-03
503,2024-07-05,0,control,2024-06,2024-07
407,2024-04-05,1,variant,2024-03,2024-04
574,2024-05-11,0,control,2024-04,2024-05
728,2024-02-25,0,control,2024-02,2024-02
805,2024-04-11,0,control,2024-04,2024-04
99,2024-05-26,0,variant,2024-04,2024-05
684,2024-02-18,0,control,2024-02,2024-02
872,2024-04-23,1,variant,2024-04,2024-04
726,2024-06-10,1,control,2024-05,2024-06
987,2024-01-21,0,variant,2024-01,2024-01
547,2024-05-07,0,control,2024-05,2024-05
961,2024-03-21,0,variant,2024-03,2024-03
739,2024-04-03,0,variant,2024-03,2024-04
613,2024-02-02,0,control,2024-01,2024-02
943,2024-06-12,0,control,2024-06,2024-06
462,2024-01-11,0,variant,2024-01,2024-01
643,2024-04-23,0,variant,2024-04,2024-04
769,2024-07-04,0,variant,2024-05,2024-07
5,2024-06-05,0,control,2024-04,2024-06
218,2024-03-25,0,variant,2024-03,2024-03
503,2024-07-13,0,control,2024-06,2024-07
767,2024-05-02,1,variant,2024-04,2024-05
398,2024-03-30,0,variant,2024-03,2024-03
871,2024-01-21,0,control,2024-01,2024-01
795,2024-02-09,0,variant,2024-02,2024-02
393,2024-01-29,0,variant,2024-01,2024-01
207,2024-01-18,0,variant,2024-01,2024-01
15,2024-01-23,0,control,2024-01,2024-01
858,2024-04-05,1,control,2024-03,2024-04
554,2024-03-11,0,variant,2024-03,2024-03
892,2024-02-21,0,control,2024-02,2024-02
461,2024-02-04,0,control,2024-01,2024-02
691,2024-06-13,1,variant,2024-06,2024-06
575,2024-04-02,0,control,2024-03,2024-04
864,2024-05-11,1,variant,2024-05,2024-05
743,2024-06-13,1,control,2024-06,2024-06
241,2024-06-01,0,control,2024-05,2024-06
564,2024-07-02,0,variant,2024-06,2024-07
96,2024-01-24,1,variant,2024-01,2024-01
900,2024-04-27,0,variant,2024-04,2024-04
734,2024-06-12,0,variant,2024-06,2024-06
485,2024-01-14,0,variant,2024-01,2024-01
407,2024-04-14,0,control,2024-03,2024-04
231,2024-01-05,0,control,2024-01,2024-01
749,2024-02-15,0,control,2024-02,2024-02
655,2024-05-22,0,variant,2024-05,2024-05
171,2024-03-30,0,control,2024-03,2024-03
541,2024-06-27,0,control,2024-06,2024-06
36,2024-02-09,1,control,2024-01,2024-02
525,2024-07-14,0,control,2024-06,2024-07
160,2024-03-25,0,control,2024-02,2024-03
839,2024-05-09,0,variant,2024-05,2024-05
699,2024-06-01,0,control,2024-05,2024-06
243,2024-02-02,1,variant,2024-01,2024-02
86,2024-02-26,0,variant,2024-02,2024-02
796,2024-02-17,0,control,2024-02,2024-02
578,2024-06-14,1,variant,2024-06,2024-06
682,2024-05-02,1,control,2024-04,2024-05
557,2024-02-29,0,variant,2024-02,2024-02
574,2024-04-30,0,variant,2024-04,2024-04
953,2024-02-20,0,variant,2024-02,2024-02
646,2024-02-16,0,variant,2024-02,2024-02
796,2024-02-09,0,control,2024-02,2024-02
28,2024-04-28,0,control,2024-04,2024-04
620,2024-05-03,0,variant,2024-05,2024-05
556,2024-04-02,0,control,2024-03,2024-04
340,2024-04-24,0,control,2024-04,2024-04
798,2024-07-17,1,control,2024-06,2024-07
958,2024-05-15,0,variant,2024-05,2024-05
331,2024-04-18,1,control,2024-04,2024-04
640,2024-02-21,1,variant,2024-02,2024-02
506,2024-03-08,0,control,2024-02,2024-03
348,2024-04-04,0,control,2024-04,2024-04
473,2024-03-10,0,variant,2024-02,2024-03
231,2024-01-07,0,control,2024-01,2024-01
190,2024-04-09,0,variant,2024-03,2024-04
225,2024-08-02,0,control,2024-06,2024-08
385,2024-04-03,1,control,2024-04,2024-04
377,2024-05-30,0,control,2024-05,2024-05
283,2024-02-24,0,variant,2024-02,2024-02
958,2024-06-10,0,variant,2024-05,2024-06
633,2024-03-03,0,variant,2024-02,2024-03
628,2024-06-06,1,control,2024-05,2024-06
973,2024-05-20,0,variant,2024-05,2024-05
745,2024-05-12,0,control,2024-05,2024-05
259,2024-03-05,0,variant,2024-03,2024-03
359,2024-07-25,0,variant,2024-06,2024-07
710,2024-01-26,0,variant,2024-01,2024-01
456,2024-02-12,0,control,2024-01,2024-02
411,2024-05-11,0,variant,2024-04,2024-05
649,2024-05-20,1,control,2024-05,2024-05
318,2024-02-28,1,variant,2024-02,2024-02
677,2024-06-25,0,control,2024-06,2024-06
225,2024-06-07,0,control,2024-06,2024-06
819,2024-05-01,0,control,2024-04,2024-05
234,2024-05-22,0,control,2024-05,2024-05
684,2024-02-07,0,control,2024-02,2024-02
664,2024-05-16,0,variant,2024-05,2024-05
975,2024-06-11,0,variant,2024-06,2024-06
827,2024-02-09,0,variant,2024-02,2024-02
374,2024-02-14,0,variant,2024-01,2024-02
672,2024-06-18,0,control,2024-06,2024-06
608,2024-06-02,0,variant,2024-04,2024-06
472,2024-06-22,0,control,2024-06,2024-06
233,2024-04-16,1,variant,2024-04,2024-04
692,2024-07-05,0,control,2024-06,2024-07
113,2024-05-27,0,control,2024-05,2024-05
830,2024-04-09,0,control,2024-04,2024-04
497,2024-02-21,0,control,2024-02,2024-02
442,2024-05-16,0,control,2024-05,2024-05
564,2024-06-25,0,control,2024-06,2024-06
268,2024-01-30,1,variant,2024-01,2024-01
510,2024-02-02,0,variant,2024-01,2024-02
807,2024-05-17,1,control,2024-05,2024-05
386,2024-06-13,0,control,2024-06,2024-06
387,2024-04-24,0,variant,2024-04,2024-04
113,2024-05-25,0,control,2024-05,2024-05
613,2024-01-11,0,variant,2024-01,2024-01
625,2024-04-03,0,control,2024-03,2024-04
952,2024-06-16,0,variant,2024-06,2024-06
81,2024-02-20,0,variant,2024-02,2024-02
699,2024-06-01,0,variant,2024-05,2024-06
113,2024-05-27,0,variant,2024-05,2024-05
2,2024-05-13,0,control,2024-05,2024-05
642,2024-03-06,1,control,2024-02,2024-03
220,2024-02-15,0,variant,2024-02,2024-02
566,2024-03-13,0,variant,2024-03,2024-03
855,2024-04-23,0,control,2024-04,2024-04
997,2024-02-23,0,variant,2024-02,2024-02
736,2024-02-06,0,control,2024-01,2024-02
225,2024-06-08,0,control,2024-06,2024-06
385,2024-04-09,0,variant,2024-04,2024-04
403,2024-06-02,0,control,2024-06,2024-06
638,2024-05-05,0,variant,2024-04,2024-05
130,2024-05-19,0,control,2024-05,2024-05
53,2024-06-19,1,control,2024-06,2024-06
684,2024-02-04,0,variant,2024-02,2024-02
730,2024-05-07,1,variant,2024-05,2024-05
672,2024-06-10,0,control,2024-06,2024-06
710,2024-01-22,0,control,2024-01,2024-01
416,2024-04-15,1,control,2024-04,2024-04
247,2024-04-10,1,control,2024-03,2024-04
836,2024-01-17,0,variant,2024-01,2024-01
439,2024-06-10,0,variant,2024-05,2024-06
203,2024-05-17,0,control,2024-05,2024-05
184,2024-02-05,0,control,2024-01,2024-02
123,2024-05-21,0,variant,2024-05,2024-05
401,2024-02-15,0,variant,2024-01,2024-02
767,2024-05-12,1,variant,2024-04,2024-05
294,2024-01-12,0,variant,2024-01,2024-01
280,2024-03-03,0,control,2024-03,2024-03
837,2024-03-04,0,control,2024-02,2024-03
884,2024-02-03,0,variant,2024-01,2024-02
610,2024-04-30,0,variant,2024-04,2024-04
198,2024-06-24,0,control,2024-06,2024-06
982,2024-06-23,0,control,2024-06,2024-06
907,2024-05-20,1,control,2024-05,2024-05
511,2024-03-13,0,variant,2024-02,2024-03
752,2024-02-06,0,control,2024-02,2024-02
144,2024-01-06,0,control,2024-01,2024-01
609,2024-01-28,1,variant,2024-01,2024-01
201,2024-06-27,0,control,2024-06,2024-06
124,2024-01-14,0,control,2024-01,2024-01
187,2024-05-03,0,control,2024-05,2024-05
326,2024-02-28,0,control,2024-01,2024-02
464,2024-02-04,0,control,2024-02,2024-02
349,2024-04-03,0,variant,2024-03,2024-04
771,2024-05-10,1,variant,2024-05,2024-05
660,2024-03-28,0,control,2024-03,2024-03
764,2024-05-16,0,control,2024-05,2024-05
955,2024-05-28,0,variant,2024-05,2024-05
932,2024-06-01,0,control,2024-05,2024-06
403,2024-06-06,0,control,2024-06,2024-06
346,2024-04-07,0,variant,2024-03,2024-04
963,2024-05-17,0,control,2024-05,2024-05
511,2024-03-02,0,control,2024-02,2024-03
147,2024-06-22,1,control,2024-06,2024-06
148,2024-05-31,0,control,2024-05,2024-05
864,2024-05-10,0,control,2024-05,2024-05
711,2024-03-15,0,control,2024-03,2024-03
820,2024-04-17,0,control,2024-03,2024-04
489,2024-02-19,0,variant,2024-02,2024-02
929,2024-05-17,0,control,2024-04,2024-05
936,2024-05-22,1,control,2024-04,2024-05
640,2024-02-10,0,variant,2024-02,2024-02
551,2024-06-18,1,variant,2024-06,2024-06
338,2024-01-12,1,control,2024-01,2024-01
872,2024-05-03,0,control,2024-04,2024-05
641,2024-03-06,0,control,2024-03,2024-03
779,2024-04-30,1,variant,2024-04,2024-04
988,2024-03-19,1,control,2024-03,2024-03
953,2024-03-05,0,control,2024-02,2024-03
473,2024-03-12,0,control,2024-02,2024-03
946,2024-05-18,0,control,2024-05,2024-05
151,2024-03-16,1,control,2024-03,2024-03
415,2024-01-24,0,control,2024-01,2024-01
990,2024-03-11,0,variant,2024-03,2024-03
298,2024-04-04,0,variant,2024-03,2024-04
611,2024-02-28,0,control,2024-02,2024-02
263,2024-04-14,0,control,2024-04,2024-04
764,2024-05-06,0,control,2024-05,2024-05
144,2024-01-23,1,control,2024-01,2024-01
346,2024-04-12,0,variant,2024-03,2024-04
624,2024-03-02,0,variant,2024-02,2024-03
572,2024-05-20,0,control,2024-05,2024-05
881,2024-02-26,0,control,2024-02,2024-02
2,2024-05-11,0,control,2024-05,2024-05
897,2024-02-09,0,variant,2024-02,2024-02
304,2024-03-10,0,variant,2024-03,2024-03
254,2024-01-17,0,variant,2024-01,2024-01
652,2024-04-13,0,variant,2024-03,2024-04
453,2024-06-13,0,control,2024-06,2024-06
37,2024-02-02,0,variant,2024-01,2024-02
160,2024-02-24,0,variant,2024-02,2024-02
9,2024-05-26,0,variant,2024-05,2024-05
233,2024-05-06,0,control,2024-04,2024-05
99,2024-04-16,0,variant,2024-04,2024-04
659,2024-01-30,0,variant,2024-01,2024-01
816,2024-05-24,0,variant,2024-05,2024-05
208,2024-02-27,0,variant,2024-02,2024-02
131,2024-03-19,0,variant,2024-03,2024-03
404,2024-04-23,0,variant,2024-04,2024-04
152,2024-04-18,0,variant,2024-04,2024-04
54,2024-04-04,0,variant,2024-01,2024-04
120,2024-03-01,0,control,2024-02,2024-03
673,2024-03-07,0,control,2024-03,2024-03
920,2024-03-14,0,control,2024-02,2024-03
628,2024-05-20,0,variant,2024-05,2024-05
587,2024-03-23,0,variant,2024-03,2024-03
625,2024-03-17,0,variant,2024-03,2024-03
968,2024-06-20,0,control,2024-06,2024-06
420,2024-03-03,0,control,2024-02,2024-03
422,2024-06-06,0,control,2024-05,2024-06
104,2024-02-10,1,control,2024-01,2024-02
852,2024-01-11,0,variant,2024-01,2024-01
254,2024-01-17,0,control,2024-01,2024-01
227,2024-06-04,0,variant,2024-06,2024-06
112,2024-02-11,0,variant,2024-02,2024-02
510,2024-01-30,0,control,2024-01,2024-01
473,2024-03-02,0,variant,2024-02,2024-03
99,2024-04-28,0,control,2024-04,2024-04
153,2024-01-22,0,control,2024-01,2024-01
861,2024-01-03,0,variant,2024-01,2024-01
914,2024-05-02,0,variant,2024-04,2024-05
896,2024-05-14,1,control,2024-05,2024-05
878,2024-05-08,0,control,2024-05,2024-05
338,2024-01-20,0,control,2024-01,2024-01
706,2024-05-30,0,control,2024-05,2024-05
822,2024-07-06,0,variant,2024-06,2024-07
163,2024-02-25,0,variant,2024-02,2024-02
720,2024-03-24,0,control,2024-03,2024-03
957,2024-05-26,0,variant,2024-05,2024-05
681,2024-01-26,0,control,2024-01,2024-01
996,2024-04-16,0,control,2024-04,2024-04
161,2024-02-26,0,variant,2024-02,2024-02
580,2024-02-28,0,variant,2024-02,2024-02
801,2024-06-23,0,variant,2024-06,2024-06
398,2024-03-24,0,variant,2024-03,2024-03
277,2024-06-25,0,variant,2024-06,2024-06
816,2024-05-18,0,control,2024-05,2024-05
916,2024-07-14,0,variant,2024-06,2024-07
504,2024-05-09,0,variant,2024-05,2024-05
896,2024-05-12,0,control,2024-05,2024-05
392,2024-01-17,0,variant,2024-01,2024-01
135,2024-05-05,0,control,2024-04,2024-05
195,2024-04-20,0,control,2024-04,2024-04
401,2024-01-15,0,variant,2024-01,2024-01
640,2024-02-04,0,control,2024-02,2024-02
33,2024-02-26,0,variant,2024-02,2024-02
688,2024-03-14,0,control,2024-03,2024-03
460,2024-02-25,1,variant,2024-01,2024-02
955,2024-06-06,0,control,2024-05,2024-06
883,2024-06-28,0,control,2024-06,2024-06
470,2024-04-07,0,control,2024-04,2024-04
375,2024-06-12,1,variant,2024-06,2024-06
22,2024-03-25,0,variant,2024-03,2024-03
750,2024-04-18,0,variant,2024-04,2024-04
670,2024-03-16,0,control,2024-02,2024-03
38,2024-02-02,0,control,2024-01,2024-02
230,2024-07-11,0,control,2024-06,2024-07
365,2024-02-04,0,variant,2024-01,2024-02
563,2024-04-24,0,control,2024-04,2024-04
438,2024-03-27,0,variant,2024-03,2024-03
776,2024-05-04,0,variant,2024-04,2024-05
283,2024-02-15,0,control,2024-02,2024-02
27,2024-06-20,0,control,2024-06,2024-06
226,2024-04-19,0,variant,2024-04,2024-04
277,2024-06-23,0,control,2024-06,2024-06
798,2024-08-11,1,control,2024-06,2024-08
609,2024-01-25,0,control,2024-01,2024-01
284,2024-05-17,0,variant,2024-05,2024-05
879,2024-05-19,0,variant,2024-05,2024-05
960,2024-06-05,1,control,2024-05,2024-06
481,2024-04-15,0,control,2024-04,2024-04
453,2024-06-17,0,control,2024-06,2024-06
829,2024-02-14,0,variant,2024-01,2024-02
816,2024-06-06,0,control,2024-05,2024-06
659,2024-01-26,0,control,2024-01,2024-01
516,2024-06-22,1,variant,2024-06,2024-06
547,2024-05-31,0,variant,2024-05,2024-05
192,2024-06-04,0,variant,2024-06,2024-06
49,2024-04-14,0,variant,2024-04,2024-04
512,2024-05-29,0,control,2024-05,2024-05
17,2024-02-03,0,control,2024-01,2024-02
172,2024-04-10,0,control,2024-04,2024-04
220,2024-03-19,0,control,2024-02,2024-03
158,2024-02-28,0,variant,2024-02,2024-02
477,2024-03-03,0,variant,2024-02,2024-03
46,2024-04-09,0,variant,2024-04,2024-04
373,2024-01-16,1,control,2024-01,2024-01
518,2024-06-20,0,variant,2024-06,2024-06
99,2024-04-23,0,variant,2024-04,2024-04
892,2024-02-29,0,control,2024-02,2024-02
745,2024-05-16,0,variant,2024-05,2024-05
37,2024-02-22,0,control,2024-01,2024-02
280,2024-03-18,0,control,2024-03,2024-03
349,2024-04-09,0,variant,2024-03,2024-04
497,2024-02-19,0,variant,2024-02,2024-02
302,2024-04-04,0,control,2024-04,2024-04
181,2024-01-14,0,control,2024-01,2024-01
607,2024-01-12,0,variant,2024-01,2024-01
99,2024-04-15,0,variant,2024-04,2024-04
700,2024-03-29,0,variant,2024-03,2024-03
993,2024-01-28,0,control,2024-01,2024-01
116,2024-05-04,0,control,2024-04,2024-05
191,2024-05-21,0,control,2024-04,2024-05
253,2024-03-26,0,control,2024-03,2024-03
981,2024-03-12,0,control,2024-03,2024-03
928,2024-04-28,1,control,2024-04,2024-04
983,2024-02-10,1,variant,2024-02,2024-02
161,2024-02-15,0,control,2024-02,2024-02
256,2024-03-12,0,variant,2024-03,2024-03
323,2024-01-09,0,control,2024-01,2024-01
128,2024-05-26,0,control,2024-05,2024-05
18,2024-02-01,0,control,2024-01,2024-02
793,2024-02-25,0,control,2024-02,2024-02
735,2024-02-01,0,control,2024-01,2024-02
566,2024-03-08,1,variant,2024-03,2024-03
570,2024-02-07,0,variant,2024-02,2024-02
323,2024-01-07,0,control,2024-01,2024-01
872,2024-04-27,0,control,2024-04,2024-04
686,2024-05-08,0,variant,2024-05,2024-05
792,2024-03-10,0,variant,2024-03,2024-03
626,2024-05-13,0,control,2024-05,2024-05
288,2024-03-25,0,variant,2024-03,2024-03
943,2024-07-01,0,variant,2024-06,2024-07
854,2024-03-05,0,variant,2024-03,2024-03
663,2024-03-10,0,variant,2024-02,2024-03
962,2024-04-26,1,variant,2024-04,2024-04
639,2024-03-25,0,variant,2024-02,2024-03
155,2024-03-14,1,control,2024-02,2024-03
490,2024-03-24,0,variant,2024-03,2024-03
386,2024-06-21,0,variant,2024-06,2024-06
986,2024-02-17,0,variant,2024-01,2024-02
785,2024-04-27,0,variant,2024-04,2024-04
104,2024-01-20,1,control,2024-01,2024-01
929,2024-04-21,0,control,2024-04,2024-04
393,2024-02-04,0,control,2024-01,2024-02
811,2024-02-04,0,control,2024-01,2024-02
246,2024-02-29,0,control,2024-02,2024-02
176,2024-06-09,0,variant,2024-06,2024-06
39,2024-03-05,0,control,2024-02,2024-03
477,2024-02-27,0,variant,2024-02,2024-02
682,2024-05-16,0,variant,2024-04,2024-05
759,2024-01-29,1,control,2024-01,2024-01
538,2024-04-13,0,control,2024-04,2024-04
867,2024-04-03,0,variant,2024-03,2024-04
818,2024-03-18,0,variant,2024-03,2024-03
921,2024-05-06,0,variant,2024-05,2024-05
408,2024-01-20,0,variant,2024-01,2024-01
525,2024-07-05,0,variant,2024-06,2024-07
828,2024-04-23,0,variant,2024-04,2024-04
506,2024-02-17,0,variant,2024-02,2024-02
903,2024-03-28,0,variant,2024-03,2024-03
825,2024-04-19,0,variant,2024-04,2024-04
36,2024-02-18,0,control,2024-01,2024-02
685,2024-01-19,0,variant,2024-01,2024-01
20,2024-03-04,1,control,2024-01,2024-03
321,2024-06-05,0,variant,2024-06,2024-06
776,2024-05-05,0,control,2024-04,2024-05
512,2024-06-02,0,control,2024-05,2024-06
400,2024-04-27,0,control,2024-04,2024-04
654,2024-05-26,0,control,2024-05,2024-05
972,2024-04-07,0,control,2024-04,2024-04
883,2024-06-12,0,variant,2024-06,2024-06
471,2024-03-08,0,control,2024-03,2024-03
143,2024-01-20,0,control,2024-01,2024-01
92,2024-03-09,0,control,2024-02,2024-03
354,2024-02-07,0,variant,2024-02,2024-02
834,2024-03-04,0,control,2024-02,2024-03
800,2024-03-02,0,control,2024-02,2024-03
727,2024-07-14,0,control,2024-06,2024-07
959,2024-06-21,0,variant,2024-06,2024-06
854,2024-03-07,0,control,2024-03,2024-03
51,2024-03-23,0,control,2024-03,2024-03
665,2024-03-06,1,control,2024-03,2024-03
698,2024-05-03,0,variant,2024-04,2024-05
575,2024-03-26,0,control,2024-03,2024-03
190,2024-03-26,1,variant,2024-03,2024-03
125,2024-05-20,0,control,2024-05,2024-05
150,2024-02-29,0,control,2024-02,2024-02
314,2024-04-16,0,control,2024-04,2024-04
570,2024-02-19,0,control,2024-02,2024-02
342,2024-06-21,0,control,2024-06,2024-06
305,2024-06-21,0,control,2024-06,2024-06
692,2024-07-05,0,control,2024-06,2024-07
682,2024-04-24,0,variant,2024-04,2024-04
838,2024-04-20,0,variant,2024-04,2024-04
783,2024-06-22,1,control,2024-06,2024-06
54,2024-01-21,0,variant,2024-01,2024-01
444,2024-05-17,0,variant,2024-04,2024-05
613,2024-01-08,0,variant,2024-01,2024-01
993,2024-02-03,1,control,2024-01,2024-02
264,2024-03-08,0,variant,2024-02,2024-03
53,2024-06-09,0,control,2024-06,2024-06
572,2024-05-07,1,variant,2024-05,2024-05
620,2024-05-09,0,control,2024-05,2024-05
5,2024-05-02,1,control,2024-04,2024-05
103,2024-01-12,0,control,2024-01,2024-01
196,2024-04-11,0,control,2024-04,2024-04
774,2024-07-07,1,variant,2024-06,2024-07
877,2024-03-17,0,control,2024-03,2024-03
992,2024-03-01,0,variant,2024-02,2024-03
884,2024-01-21,0,control,2024-01,2024-01
350,2024-02-18,1,control,2024-02,2024-02
47,2024-05-07,0,variant,2024-05,2024-05
867,2024-04-03,0,variant,2024-03,2024-04
823,2024-04-09,0,control,2024-03,2024-04
936,2024-04-27,0,control,2024-04,2024-04
820,2024-03-31,0,variant,2024-03,2024-03
656,2024-02-27,0,control,2024-02,2024-02
269,2024-04-30,0,variant,2024-04,2024-04
370,2024-04-22,0,variant,2024-04,2024-04
